Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0	
1	C4	P18D5	AC.AT	0.059466973	0.159140332	0.257590596	0.347854207	0.437874576	0.64	0.83	
2	C4	P18D5	EC.AT	0.022087568	0.04814469	0.090949203	0.118080741	0.155662972	0.67	0.81	
3	C4	P18D5	Control.AT	0.010999161	0.09768487	0.173576695	0.255962411	0.340240203	0.68	0.81	
4	C4	P18D5	AC.ET	0.099539804	0.247619705	0.410947122	0.572433787	0.736758199	0.65	0.81	
5	C4	P18D5	EC.ET	0.014878462	0.163350499	0.324841138	0.472274775	0.624762006	0.68	0.82	
6	C4	P18D5	Control.ET	0.027338527	0.168201096	0.319924334	0.467126512	0.617407718	0.67	0.80	
49	B2	MOTHER	AC.AT	0.138459928	0.193995958	0.272756828	0.331227586	0.400407102	0.56	0.83	
50	B2	MOTHER	EC.AT	0.141540989	0.21863586	0.270955445	0.334368417	0.392619813	0.55	0.80	
51	B2	MOTHER	Control.AT	0.144273023	0.199571269	0.262168935	0.33708098	0.402961944	0.63	0.80	
52	B2	MOTHER	AC.ET	0.149883213	0.340864906	0.544053805	0.731662523	0.924291208	0.62	0.79	
53	B2	MOTHER	EC.ET	0.151894268	0.211023259	0.273437283	0.332145304	0.387098414	0.62	0.81	
54	B2	MOTHER	Control.ET	0.156852711	0.207361292	0.268438434	0.334214421	0.393939584	0.6	0.80	
25	A3	P13A2	AC.AT	0.065537457	0.151590382	0.252563922	0.343287656	0.439723771	0.61	0.83	
26	A3	P13A2	EC.AT	0.06904328	0.172628501	0.252920781	0.341482439	0.435317609	0.67	0.79	
27	A3	P13A2	Control.AT	0.070902071	0.155068156	0.249516181	0.344041887	0.435143316	0.57	0.81	
28	A3	P13A2	AC.ET	0.074343385	0.172823307	0.25797365	0.341519877	0.434336145	0.66	0.80	
29	A3	P13A2	EC.ET	0.077445849	0.15919339	0.256016339	0.343541998	0.43167246	0.65	0.80	
30	A3	P13A2	Control.ET	0.080813596	0.174238659	0.255529236	0.343785466	0.426986321	0.58	0.83	
7	B1	P14B3	AC.AT	0.035932451	0.325388965	0.596772569	0.870335144	1.144682035	0.65	0.80	
8	B1	P14B3	EC.AT	0.050627773	0.180771957	0.323222121	0.470074018	0.609800524	0.73	0.80	
9	B1	P14B3	Control.AT	0.164631147	0.437442049	0.697465912	0.974602953	1.241832973	0.57	0.80	
10	B1	P14B3	AC.ET	0.171362266	0.291179828	0.42254254	0.560827893	0.698691475	0.64	0.80	
11	B1	P14B3	EC.ET	0.184497694	0.316763296	0.436234834	0.559294428	0.685439323	0.68	0.82	
12	B1	P14B3	Control.ET	0.197668398	0.315492385	0.430924365	0.55695885	0.683573121	0.69	0.81	
73	A2	P14B4	AC.AT	0.02303391	0.057576871	0.092149039	0.124259273	0.15735684	0.63	0.81	
74	A2	P14B4	EC.AT	0.025713345	0.192506443	0.365455963	0.541739882	0.71983984	0.58	0.80	
75	A2	P14B4	Control.AT	0.029975485	0.202949635	0.350769071	0.517996769	0.678980506	0.62	0.81	
76	A2	P14B4	AC.ET	0.031905205	0.061427228	0.090466661	0.120144184	0.153631407	0.54	0.83	
77	A2	P14B4	EC.ET	0.034363309	0.058522974	0.096051182	0.119090466	0.143223952	0.65	0.80	
