Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
79	B1	P17B3	AC.AT	0.040064465	0.199742973	0.386793217	0.559590995	0.739071886	0.62	0.80
79	B2	P17B3	AC.AT	0.041423259	0.080252387	0.094994346	0.117441051	0.135682842	0.56	0.79
79	B3	P17B3	AC.AT	0.04200807	0.073162406	0.086380067	0.113100185	0.138769141	0.59	0.80
79	B4	P17B3	AC.AT	0.040059283	0.213108411	0.360249627	0.520345273	0.675810935	0.6	0.81
67	B1	P17B3	AC.AT	0.003433123	0.031418424	0.087131039	0.124056603	0.164812845	0.69	0.83
82	B1	P17B3	AC.ET	0.047737792	0.210940091	0.39072028	0.553285383	0.71728385	0.6	0.80
82	B2	P17B3	AC.ET	0.048348349	0.216880026	0.358318659	0.505723529	0.659595457	0.58	0.82
82	B3	P17B3	AC.ET	0.04852566	0.081704731	0.097857072	0.111164199	0.130207469	0.52	0.81
82	B4	P17B3	AC.ET	0.048539932	0.073077013	0.088398408	0.118522695	0.142055622	0.58	0.83
70	B1	P17B3	AC.ET	0.013796559	0.048384965	0.08871902	0.122613082	0.156810846	0.62	0.80
81	B1	P17B3	Control.AT	0.046492572	0.18792437	0.367503478	0.525756359	0.688317736	0.59	0.80
81	B2	P17B3	Control.AT	0.046423733	0.204206515	0.349094843	0.512451958	0.664899494	0.61	0.81
81	B3	P17B3	Control.AT	0.046377241	0.07936398	0.096487211	0.111367096	0.132314721	0.59	0.81
81	B4	P17B3	Control.AT	0.046530242	0.208432382	0.352721197	0.505450998	0.659842584	0.56	0.79
69	B1	P17B3	Control.AT	0.01142754	0.0633833	0.082384289	0.118517885	0.153089821	0.63	0.81
84	B1	P17B3	Control.ET	0.055049545	0.232683782	0.400471491	0.562506345	0.7250882	0.63	0.79
84	B2	P17B3	Control.ET	0.055798721	0.212648029	0.35849703	0.504636182	0.656174776	0.66	0.82
84	B3	P17B3	Control.ET	0.055013006	0.208590511	0.376336235	0.545490575	0.705871845	0.62	0.80
84	B4	P17B3	Control.ET	0.054108098	0.073792173	0.096392748	0.110363511	0.12732819	0.64	0.82
72	B1	P17B3	Control.ET	0.019792296	0.201022433	0.355976481	0.521032091	0.68343923	0.55	0.79
80	B1	P17B3	EC.AT	0.04510266	0.055323549	0.084028686	0.120213695	0.144572075	0.66	0.81
80	B2	P17B3	EC.AT	0.045071316	0.056253073	0.0902439	0.119762327	0.141971081	0.64	0.82
80	B3	P17B3	EC.AT	0.044456144	0.054797637	0.095677434	0.118994608	0.147153061	0.6	0.82
